time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-22T12:35:34.048Z,38.653000,-118.793800,8.800000,2.800000,ml,22.000000,61.630000,0.187000,0.184600,nn,nn00536848,2016-03-23T03:31:14.289Z,"20km NW of Hawthorne, Nevada",earthquake,1.090000,1.500000,0.310000,9.000000,reviewed,nn,nn

2016-03-22T10:56:17.700Z,-4.466000,35.975800,10.000000,4.800000,mb,,77.000000,2.939000,0.780000,us,us20005bph,2016-03-22T12:57:37.173Z,"26km SSE of Galappo, Tanzania",earthquake,8.700000,1.800000,0.094000,35.000000,reviewed,us,us

2016-03-22T10:26:44.600Z,35.872900,-97.310200,6.497000,2.600000,ml,,54.000000,,0.190000,us,us20005bpf,2016-03-23T05:12:20.364Z,"9km SSW of Langston, Oklahoma",earthquake,1.100000,3.400000,,,reviewed,tul,tul

2016-03-22T10:00:45.356Z,38.655500,-118.784100,10.900000,4.100000,ml,53.000000,57.310000,0.184000,0.240300,nn,nn00536804,2016-03-23T13:58:23.954Z,"19km NW of Hawthorne, Nevada",earthquake,0.640000,1.100000,0.350000,33.000000,reviewed,nn,nn

2016-03-22T09:31:47.800Z,32.115333,-115.070000,18.380000,3.180000,ml,19.000000,129.000000,0.187100,0.290000,ci,ci37538432,2016-03-22T18:44:39.989Z,"11km SW of Estacion Coahuila, B.C., MX",earthquake,1.100000,1.260000,0.188000,73.000000,reviewed,ci,ci

2016-03-22T06:08:21.000Z,60.056400,-152.774800,118.000000,2.500000,ml,,,,0.490000,ak,ak13040806,2016-03-22T14:10:59.090Z,"47km S of Redoubt Volcano, Alaska",earthquake,1.400000,1.100000,,,automatic,ak,ak

2016-03-22T05:34:22.140Z,36.798300,140.518200,10.000000,4.800000,mb,,125.000000,0.624000,1.370000,us,us20005bni,2016-03-22T12:47:58.618Z,"15km ENE of Daigo, Japan",earthquake,6.800000,1.000000,0.040000,190.000000,reviewed,us,us

2016-03-22T04:55:56.220Z,54.310300,162.941100,47.820000,4.700000,mb,,108.000000,2.860000,0.710000,us,us20005bnd,2016-03-22T12:58:24.621Z,"215km S of Ust'-Kamchatsk Staryy, Russia",earthquake,8.700000,7.600000,0.052000,110.000000,reviewed,us,us

2016-03-22T04:48:56.040Z,-20.161400,-178.947500,672.030000,4.400000,mb,,47.000000,8.570000,0.860000,us,us20005bnb,2016-03-22T12:51:23.218Z,"59km NNW of Ndoi Island, Fiji",earthquake,6.700000,10.300000,0.056000,91.000000,reviewed,us,us

2016-03-22T02:59:58.000Z,45.595000,-75.028000,18.000000,2.800000,mb_lg,,,,1.150000,us,us20005bmy,2016-03-22T21:52:05.897Z,"2km SSW of Papineauville, Canada",earthquake,3.200000,2.000000,,,reviewed,ott,ott

2016-03-22T02:42:04.000Z,51.400100,-174.074300,8.100000,3.400000,ml,,,,0.430000,ak,ak13038583,2016-03-22T17:48:01.078Z,"88km S of Atka, Alaska",earthquake,8.100000,8.200000,,,reviewed,ak,ak

2016-03-22T01:23:16.760Z,36.055800,-97.245600,9.690000,2.600000,mb_lg,,66.000000,0.249000,0.430000,us,us20005bm0,2016-03-22T18:48:28.156Z,"12km N of Langston, Oklahoma",earthquake,0.600000,5.900000,0.093000,30.000000,reviewed,us,us

2016-03-22T00:43:31.360Z,18.173800,-75.899300,10.000000,3.800000,ml,,60.000000,1.555000,1.200000,us,us20005btr,2016-03-22T18:55:12.512Z,"43km ENE of Manchioneal, Jamaica",earthquake,6.300000,2.000000,0.105000,12.000000,reviewed,us,us

2016-03-22T00:41:17.000Z,51.362600,-174.360700,8.200000,2.600000,ml,,,,0.150000,ak,ak13037111,2016-03-22T17:22:18.913Z,"93km S of Atka, Alaska",earthquake,11.000000,10.100000,,,reviewed,ak,ak

2016-03-22T00:27:56.780Z,-20.057800,-177.614400,505.640000,4.300000,mb,,109.000000,7.313000,1.390000,us,us20005blu,2016-03-22T08:30:27.333Z,"130km ENE of Ndoi Island, Fiji",earthquake,12.800000,9.400000,0.055000,93.000000,reviewed,us,us

2016-03-22T00:06:58.990Z,35.937400,-96.740300,5.400000,2.600000,mb_lg,,63.000000,0.030000,0.530000,us,us20005blm,2016-03-22T08:09:37.481Z,"5km SSE of Cushing, Oklahoma",earthquake,1.200000,3.000000,0.161000,10.000000,reviewed,us,us

2016-03-21T23:35:30.970Z,36.884200,-98.273900,5.280000,2.500000,mb_lg,,58.000000,0.095000,0.430000,us,us20005ble,2016-03-22T07:38:08.901Z,"16km NNE of Cherokee, Oklahoma",earthquake,1.400000,5.600000,0.106000,23.000000,reviewed,us,us

2016-03-21T23:31:27.004Z,38.474200,-118.374500,3.700000,3.000000,ml,37.000000,50.160000,0.049000,0.155700,nn,nn00536692,2016-03-22T07:34:01.648Z,"22km ESE of Hawthorne, Nevada",earthquake,0.680000,1.800000,0.270000,15.000000,reviewed,nn,nn

2016-03-21T22:41:18.000Z,36.382800,-98.436600,4.340000,2.800000,mb_lg,,74.000000,0.114000,0.360000,us,us20005bl8,2016-03-21T23:38:07.521Z,"13km NNE of Fairview, Oklahoma",earthquake,1.100000,3.200000,0.078000,43.000000,reviewed,us,us

2016-03-21T21:29:30.580Z,3.117600,97.911400,87.350000,4.700000,mb,,49.000000,1.832000,1.230000,us,us20005bje,2016-03-22T05:32:03.949Z,"64km W of Kabanjahe, Indonesia",earthquake,6.800000,5.700000,0.063000,76.000000,reviewed,us,us

2016-03-21T20:55:50.000Z,67.062900,-156.314400,22.900000,2.500000,ml,,,,0.990000,ak,ak13034792,2016-03-22T04:58:25.783Z,"30km NE of Kobuk, Alaska",earthquake,5.600000,4.700000,,,reviewed,ak,ak

2016-03-21T19:28:46.070Z,20.135833,-155.846000,23.434000,2.880000,ml,11.000000,274.000000,0.065330,0.120000,hv,hv61208741,2016-03-21T21:39:53.040Z,"11km SSW of Kapaau, Hawaii",earthquake,1.060000,1.290000,0.131000,5.000000,reviewed,hv,hv

2016-03-21T18:36:06.130Z,-6.054900,101.854700,10.000000,4.700000,mb,,207.000000,2.008000,0.810000,us,us20005bhx,2016-03-22T02:39:09.363Z,"239km WSW of Kuripan, Indonesia",earthquake,6.800000,1.800000,0.093000,35.000000,reviewed,us,us

2016-03-21T18:06:04.000Z,61.242300,-150.658600,33.900000,2.700000,ml,,,,0.560000,ak,ak13034053,2016-03-21T21:14:38.212Z,"40km W of Anchorage, Alaska",earthquake,0.300000,0.500000,,,automatic,ak,ak

2016-03-21T17:12:23.790Z,35.486500,99.420200,14.890000,4.200000,mb,,155.000000,11.837000,0.930000,us,us20005bgz,2016-03-22T01:14:55.780Z,"53km W of Sangdang, China",earthquake,14.000000,7.000000,0.128000,17.000000,reviewed,us,us

2016-03-21T16:23:41.200Z,19.098800,-66.785000,30.000000,2.700000,Md,13.000000,252.000000,0.663855,0.400000,pr,pr16081002,2016-03-22T00:26:10.664Z,"67km N of Hatillo, Puerto Rico",earthquake,1.700000,11.800000,0.000000,10.000000,reviewed,pr,pr

2016-03-21T16:04:53.000Z,60.230700,-149.445400,24.500000,2.600000,ml,,,,0.710000,ak,ak13033329,2016-03-22T00:07:23.873Z,"7km NNW of Bear Creek, Alaska",earthquake,0.500000,0.300000,,,automatic,ak,ak

2016-03-21T15:51:17.580Z,-30.549200,-72.064400,6.520000,4.500000,mb,,190.000000,0.390000,0.890000,us,us20005bg9,2016-03-21T23:53:44.680Z,"83km W of Ovalle, Chile",earthquake,5.100000,5.900000,0.270000,4.000000,reviewed,us,us

2016-03-21T15:43:43.000Z,51.379400,-174.256600,4.800000,3.900000,ml,,,,0.500000,ak,ak13033324,2016-03-21T23:46:25.508Z,"90km S of Atka, Alaska",earthquake,5.300000,1.800000,,,reviewed,ak,ak

2016-03-21T15:32:32.000Z,51.486700,-174.387600,2.300000,3.600000,ml,,,,0.690000,ak,ak13033320,2016-03-21T23:35:07.996Z,"79km S of Atka, Alaska",earthquake,2.800000,0.800000,,,reviewed,ak,ak

2016-03-21T15:23:33.130Z,22.395500,143.551300,117.680000,4.500000,mb,,112.000000,4.841000,0.710000,us,us20005bgd,2016-03-21T23:26:14.822Z,"248km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10.500000,7.300000,0.054000,102.000000,reviewed,us,us

2016-03-21T15:03:19.160Z,19.391667,-155.276167,2.743000,2.640000,ml,47.000000,42.000000,0.004385,0.100000,hv,hv61208616,2016-03-21T23:05:51.607Z,"5km SW of Volcano, Hawaii",earthquake,0.160000,0.120000,0.184000,22.000000,reviewed,hv,hv

